Fold,Text,Actual Label,Predicted Label
1,ukur foto biar susah,-1,-1
1,mantap,1,1
1,djmt daftar salah habis anggar,-1,-1
1,puas bantu ekonomi,1,1
1,mantap,1,1
1,daftar subsidi sulit akses mohon baik,1,1
1,aplikasi sulit,-1,-1
1,pertamina kirim kode otp registrasi whatsapp pesan coba ulang handphone android pakai wifi,0,0
1,mantap,1,1
1,mantap,1,1
1,moga pom pakai mypertamina,0,1
1,hasil update foto pilih pakai kamera default hasil tangkap foto serasa lambat lot turun kualitas aplikasi sulit daftar pakai handphone ram pakai handphone ram unggah foto stnk gagal pakai wifi data gambar mb gambar rasa beda susah unggah foto,-1,-1
1,mohon buat barcode subsidi unggah foto stnk baik foto kamera buruk foto tempat cahaya terang,1,-1
1,tolong sistem baik ambil foto buruk hasil foto buram sulit bikin darah balik ambil foto galeri,-1,-1
1,bantu aktivitas hari,0,1
1,aplikasi bodoh fungsi rakyat susah pasang aplikasi bodoh,-1,-1
1,update bagus nge error ayo guna turun bintang biar baik aplikasi,1,1
1,oke,1,1
1,alhamdulillah bantu,0,0
1,foto stnk kamera aplikasi susah foto buram tolak daftar subsidi sengaja sulit rakyat subsidi fitur foto ambil galeri foto stnk pakai kamera aplikasi buruk,-1,-1
1,turbo mantap,1,1
1,aplikasi buruk gratis aplikasi aplikasi saking susah bikin qr kode manfaat bikin qr kode bukti aplikasi susah aplikasi bikin qr kode coba bikin aplikasi rakyat mudah bro,-1,-1
1,sistem buruk,-1,-1
1,aplikasi buruk daftar suruh foto ktp tunggu verifikasi data selesai jam sulit aplikasi sampah,-1,-1
1,update buruk lot lambat gampang mypertamina lot enak fitur,1,1
1,pilih foto bagi subsidi pasu foto ktp stnk mobil foto handphone,0,-1
1,keluh jawab template hai mohon maaf tidak nyaman alami admin butuh data dukung admin solusi kendala sila sobat salah kanal interaksi pertamina call center instagram bantu kece bantu,-1,-1
1,oke,1,1
1,bagus,1,1
1,bagus,1,1
1,nomor good,1,1
1,capai unduh aplikasi isi dana ovo spbu jalur my pertamina tutup alas ganggu jaring parah area sulawesi utara,-1,-1
1,dukung handphone foto loading handphone dukung ambil galeri sayang foto stnk pilih galeri bantu daftar,0,-1
1,good,1,1
1,daftar guna lpg kg aplikasi lari website guna aplikasi dar informasi aplikasi guna lari website digital digital haha heran plat merah,1,0
1,innova pertalite,0,1
1,alamat gagal ulang beli gas bingung,-1,-1
1,bantu,0,0
1,kembang tolong baik error maps recall jhonson base camp hero mentang isi pertalite hero recall langsung room,-1,1
1,voucher sampah beli pilih bayar voucher,0,0
1,aplikasi fitur buruk lepas koneksi bayar gopay bilang tingkat sistem email customer service balas,-1,-1
1,aplikasi mypertamina cek pom dekat isi bahan bakar minyak subsidi rubah daftar mobil diesel bensintrim,0,0
1,ulang,0,-1
1,lambat error buffering masalah,-1,-1
1,parah aplikasi pakai spbu pertamina,-1,-1
1,susah masuk data kendara subsidi tolak,-1,-1
1,bagus,1,1
1,oke,1,1
1,good,1,1
1,terima kasih ban uan,0,1
1,oke,1,1
1,mantap,1,1
1,good,1,1
1,spbu kode qr menu unduh kode qr sulit akses pakai sandi pin masuk aplikasi aman akses ubah pin klaim pakai,-1,-1
1,oke,1,1
1,mantap,1,1
1,great,1,1
1,update menggangu transaksi,0,1
1,daftar kode barcode aplikasi sampah,0,-1
1,oke,1,1
1,aplikasi cacat,-1,-1
1,telepon customer ubah data truk minggu ubah bikin rugi,0,-1
1,aplikasi error daftar barcode,0,-1
1,good,1,1
1,bagus subsidi bahan bakar minyak arah awas,1,1
1,gagal gagal kode otp kirim kirim data daftar sesuai data sesuai kirim kode otp sampah,-1,-1
1,sistem update daftar lancar,1,-1
1,bagus tinggal edukasi sdm depot isi paham,1,1
1,good,1,1
1,aplikasi sampah daftar aplikasi error era digital sok pakai aplikasi mudah susah,-1,-1
1,mudah konsumen,1,1
1,terima kasih aplikasi bantu isi bahan bakar minyak,0,0
1,bagus,1,1
1,bayar mudah cepat,1,1
1,sulit sih,-1,-1
1,kategori subsidi akses coba ber ulang kali email respon hub customer service feedback,0,0
1,kendara barcodenya pakai,0,-1
1,susah sopir handphone android ganti email data isi mypertamina memyusahkan orang da sopir,-1,-1
1,daftar kendara bahan bakar minyak subsidi aplikasi browser hasil,0,0
1,daftar aplikasi web salah sistem silah coba hub kali customer ganti handphone daftar web hasil bilang cek kala sistem luncur,0,-1
1,aplikasi bagus daftar susah,1,1
1,oke,1,1
1,susah,-1,-1
1,oke mantap,1,1
1,bantu bikin barcode bahan bakar minyak pertalite mobil,0,-1
1,buruk,-1,-1
1,mantap,1,1
1,aplikasi error kh unggah foto stnk sma foto mobil tulis coba,0,-1
1,oke mantap,1,1
1,daftar login atur abal abal,-1,-1
1,tolong aplikasi baru lengkap aplikasi aplikasi guna masyarakat bikin sulit,-1,-1
1,coba foto stnk barcode pakai galeri susah lansung foto,-1,-1
1,ayo lupa sandi reset sandi muncul pop up link kedaluwarsa coba pegawai pertamina pom respon bantu tolong solved capai benar hasil,0,0
1,aplikasi buruk daftar mobil bayar pajak mobil nomor polisi registrasi masuk korlantas sulit pakai fasilitas negara warga indonesia sulit brengsek,-1,-1
1,sayang pom pertamina terima bayar aplikasi pom pom pinggir jalan lintas kota provinsi aplikasi sih bagus bantu keluar pakai bahan bakar minyak bulan atur history guna aplikasi terima kasih,1,1
1,respon transaksi,0,0
1,daftar,0,-1
1,aplikasi sampah kali verifikasi tolak aplikasi stabil perintah bisa bikin rakyat susah gampang daftar kendara,-1,-1
1,aplikasi buruk verifikasi data asyik ganggu sistem tolong baik aplikasi,-1,-1
1,kali coba daftar gagal sistem mohon baik,1,-1
1,otp was working whatsapp pesan terima kasih,0,0
1,guna,0,-1
1,oke,1,1
1,mantap,1,1
1,hubung gopay mantap pakai aplikasi pakai gopay malam isi pom margonda depok pegawai kasih langsung unduh langsung pakai gopay,1,1
1,daftar gagal ber ulang kali daftar gagal,-1,-1
1,terima kasih kerjasamanya mudah bidang teknologi modern,1,1
1,tolak bayar via bantu malas ambil uang atm,-1,0
1,oke,1,1
1,daftar qr susah gagal coba kali,-1,-1
1,serius aplikasi usaha buruk busuk error mana server lot data error malu sih,-1,-1
1,oke,1,1
1,si sesuai nopal nomor polisi sesuai tengok capai daftar,0,-1
1,sih isi bensin tuh pertalite kadang karyawan isi mobil kacau pertamina pakai barcode barcode biar jam isi bensin kecewa,-1,-1
1,call center urut nomor tunggu jam tunggu,-1,-1
1,qr mypertamina gagal notifikasi nik sesuai verifikasi daftar maksud website hasil nik daftar verifikasi,-1,-1
1,simpel,0,0
1,mantap lancar jaya,1,1
1,mantap,1,1
1,need improvement,0,0
1,tugas ramah,1,1
1,daftar hasil kode qr muncul san muncul tulis muat ulang,0,0
1,mudah,1,1
1,parah sih daftar selalu sistem masalah coba selalu masyarakat harus pakai barcode sulit administrasi,-1,-1
