content,translated_content,polarity,sentiment
tolong baik setting kamera kamera langsung mode ultrawide baca huruf unggah pakai kamera,please set the camera to ultrawide mode directly read letters upload using the camera,0.1,positif
jelas guna,clear use,0.10000000000000002,positif
aplikasi tingkat tolong baik susah indonesia tolong sulit mohon ambil foto stnk galeri handphone potret langsung tolong baik,level application please good difficult indonesia please difficult please take photo of vehicle registration certificate gallery cellphone direct portrait please good,0.09999999999999998,positif
aplikasi hapus kendara ganti kaleng tambah ganti nomor plat kendara daftar nomor polisi tolak terang nomor polisi stnk sesuai nomor polisi kendara sesuai masuk sesuai tolong arah admin,delete vehicle application change can add change vehicle plate number list police number reject clear police number vehicle registration certificate according to police number vehicle according to enter according to please give directions admin,0.10000000000000002,positif
saran depan sedia import gambar galeri stnk ktp kali gagal maklum handphone pada kamera,front suggestion ready to import gallery image STNK KTP this time failed because cellphone on camera,-0.15,negatif
barcode,barcode,0.0,netral
qr kode muncul hasil verifikasi,qr code appears verification results,0.0,netral
good,good,0.7,positif
tolong tim baik sistem isi bahan bakar minyak subsidi kuota tinggal kemarin isi bahan bakar minyak transaksi pemberitahuan riwayat bayar aplikasi contoh bayar tunai pantau penyalahgunaan barcode,please good team fuel oil filling system subsidized quota left yesterday fuel oil filling transaction notification payment history application example cash payment monitor barcode misuse,0.35,positif
sulit barcode mohon mudah rakyat indonesia,difficult barcode please make it easy Indonesian people,-0.033333333333333326,negatif
aplikasi capai lelah isi data sistem masalah tolong pertamina,application tired of filling in system data problem please help Pertamina,-0.4,negatif
ukur foto biar susah,measure photo so it's hard,-0.2916666666666667,negatif
kesal kali foto stnk foto kamera foto anggap buram,annoyed when the vehicle registration photo camera photo is considered blurry,-0.4,negatif
mantap,Excellent,1.0,positif
mudah sulit unggah foto ulang ulang,easy hard to upload photos again and again,0.07083333333333333,positif
unggah stnk susah mati,uploading STNK is hard to die,-0.2916666666666667,negatif
kualitas kamera aplikasi buruk baca tuh stnk kamera buruk,camera quality app bad read that stnk camera bad,-0.6999999999999998,negatif
daftar gagal foto stnk seta ganti foto stnk ganti nomor polisi sesuai coba,"list of failed STNK photos and change STNK photos, change police numbers according to the trial",-0.5,negatif
woyy tolong sok pakai atur barcode urus aplikasi selesai proses reset minggu ganggu kamera bikin buruk buram baik please konsumen tolong buat barcode bikin sulit kamera buruk handphone mahal sekligus lelah,"Hey, please pretend to use the barcode setting to manage the application, complete the reset process, it's annoying, the camera makes it bad, it's blurry, good, please consumers, please make the barcode make it difficult, the camera is bad, the cellphone is expensive and tiring at the same time",-0.3,negatif
djmt daftar salah habis anggar,djmt wrong list out of fencing,-0.5,negatif
habis update unggah foto stnk susah foto stnk tolak foto sih subsidi daftar susah gin,"After the update, uploading the STNK photo is difficult, the STNK photo was rejected, the registration subsidy is difficult, right?",-0.2380952380952381,negatif
oke mohon metode bayar,ok please payment method,0.5,positif
mantap,Excellent,1.0,positif
aplikasi buruk barcode pakai spbu coba cari barcode kendara aplikasi mypertamina unduh menu cari barcode kendara daftar isi data ulang ulang isi data nomor kendara cari daftar barcode unduh pakai kali kali isi bahan bakar minyak,bad application barcode use gas station try searching for vehicle barcode mypertamina application download menu search for vehicle barcode register fill in data repeat fill in vehicle number data search barcode list download use times fill in fuel oil,-0.6999999999999998,negatif
puas bantu ekonomi,satisfied to help the economy,0.5,positif
mypertamina mantap,mypertamina is great,0.8,positif
ubah stnk tahun nomor polisi kendara ubah daftar ulang sulit rubah nomor polisi ubah daftar ulang,change stnk year police number vehicle change re-registration difficult change police number change re-registration,-0.5,negatif
tolong baik sistem daftar kendala sistem gagal mohon baik kualitas kamera kamera buram flash daftar susah tolong kembali kualitas terima kasih,please good system register system problem failed please good camera quality camera blurry flash register difficult please return quality thank you,0.09999999999999998,positif
mantap muas,steady and satisfying,0.3333333333333333,positif
daftar barcode qris update isi ulang haduuhhh sulit,qris barcode list update refill oh my it's hard,-0.2916666666666667,negatif
my pertamina pakai orang login masuk gagal,my pertamina use other people login failed,-0.3125,negatif
ting kamera wide,wide camera ting,-0.1,negatif
oke mantap,okay great,0.65,positif
sosial media pertamina chat balas adu,social media pertamina chat reply adu,0.03333333333333333,positif
aplikasi subsidi daftar sulit data full foto stnk bpkb tolak beli mobil bekas unggah tolak kecewa moga spbu shell cepat balikpapan,subsidy application register difficult full data photo stnk bpkb refuse to buy used car upload refuse disappointed hopefully shell gas station quickly balikpapan,-0.14166666666666666,negatif
bantu,help,0.0,netral
mantap,Excellent,1.0,positif
good,good,0.7,positif
bagus,Good,0.7,positif
unggah foto ktp gagal susah,upload photo ktp failed difficult,-0.5,negatif
kemarin fitur unggah berkas daftar subsidi,yesterday the feature uploaded the subsidy list file,0.0,netral
pegawai pom banyak canda bicara isi,petrol station employees talk a lot about jokes,0.0,netral
pertamina call center hubung pesan gas blora jawa janji jam pagi jam silah,pertamina call center contact message gas blora java promise morning time please,-0.1,negatif
praktis sulit bawa uang cash,practically difficult to carry cash,-0.5,negatif
aplikasi foto fokus tolak buruk foto resolusi hasil bagus,photo application focus reject bad photo resolution good results,5.551115123125783e-17,positif
foto buram verifikasi ambil galeri ning mudah bikin susah,blurry photo verification take gallery ning easy make difficult,-0.033333333333333326,negatif
daftar subsidi sulit akses mohon baik,list of subsidies difficult to access please be kind,0.04999999999999999,positif
kesini unggah stnk sulit baca fokus handphone mending menyantumkan foto saran mah susah orang lot foto stnk hadeehhh suram suram,"come here to upload the vehicle registration certificate, it's hard to read, focus on your cellphone, it's better to include a photo, the suggestion is it's hard, people take a lot of vehicle registration photos, it's gloomy, gloomy",-0.02777777777777779,negatif
sulit daftar bahan bakar minyak subsidi isi data jungkir habis kuota mudah rakyat selamat nikmat ruwet,"difficult to register subsidized fuel, fill in the data, quota is up, easy, people are safe, delicious, complicated",0.18666666666666668,positif
terima foto ktp pemberitahuan tulis merah verifikasi foto ktp gagal aplikasi buruk susah masyarakat bossss tolong bantu masyarakat,"receive a photo of an ID card, notification written in red, verification of the ID card photo failed, bad application, difficult for the community, boss, please help the community",-0.42499999999999993,negatif
oke,Okay,0.5,positif
aplikasi bantu mudah,easy help application,0.43333333333333335,positif
qr customer tampil,qr customer display,0.0,netral
daftar nomor rang mob plat baca aplikasi roda solusi,list of car number plates read application wheel solution,0.0,netral
login nomor pin,login pin number,0.0,netral
blokir bikin normal,block make normal,0.15,positif
sulit bikin susah rakyat,difficult to make difficult for the people,-0.5,negatif
sungguh sulit daftar handphone kualitas rendah foto stnk buram mesti tolak alangkah baik menu ambil galeri mohon bantu kasihan isi bahan bakar minyak sulit,"It's really hard to register a low quality cellphone, the vehicle registration photo is blurry, it has to be rejected, it would be better to take the gallery menu, please help, it's a shame, it's hard to fill up with fuel",-0.020833333333333343,negatif
baik pom ciatel,good ciatel pump,0.7,positif
akun masuk klaim kode barcode langsung masuk data repot mah daftar ulang,account login claim barcode code directly enter data is a hassle re-register,0.1,positif
mantap,Excellent,1.0,positif
buruk susah ambil subsidi negeri,bad hard to get state subsidies,-0.49583333333333324,negatif
mantap,Excellent,1.0,positif
foto gagal aplikasi buruk ambil gambar bagus,photo fail bad app take good picture,-0.1666666666666666,negatif
susah foto ktp menu edit pilih galeri gagal,difficult to take KTP photo edit menu select gallery failed,-0.5,negatif
dar tarif bahan bakar minyak aplikasi,from fuel oil tariff application,0.0,netral
sulit,difficult,-0.5,negatif
susah lambat,hard but slow,-0.2958333333333334,negatif
tolong sulit lalap gagal daftar sesuai suruh heran,please difficult lalap failed to register as instructed surprised,-0.3,negatif
aplikasi sulit,difficult application,-0.5,negatif
klik ambil foto foto buram buruk susah,click take photo blurry photo bad difficult,-0.5999999999999999,negatif
komplain respon jawab terang barcode blokir isi syarat id lapor jelas tim tim sinambung selesai rugi barcode salah curi oknum spbu tegas tim kait tanggung,complaint response answer clear barcode block fill in requirements id report clear team continuous team finished loss wrong barcode stolen by gas station official firm team hook responsibility,-0.16,negatif
aplikasi sulit ambil foto stnk,application difficult to take STNK photo,-0.5,negatif
sulit mudah,hard easy,0.07083333333333333,positif
aplikasi sampah cerita digital buat perintah eh saking buruk unggah data hasil banyak korup ua gnya kali biaya aplikasi hasil aplikasi abal bikin anak ajar software,digital story trash application for commands eh because it's so bad uploading data results are a lot of corruption the money is times the cost of the application results are fake applications make children teach software,-0.3999999999999999,negatif
oke,Okay,0.5,positif
sulit masyarakat,difficult society,-0.5,negatif
aplikasi sulit fitur foto ktp stnk mode buram tolong bantu subsidi ikhlas sulit wajib taat pajak stnk versi baru foto susah niat subsidi verifikasi butuh,difficult application photo feature ktp stnk blurry mode please help subsidy sincere difficult mandatory tax compliance stnk new version photo difficult intention subsidy verification needed,-0.17272727272727273,negatif
good,good,0.7,positif
pertamina kirim kode otp registrasi whatsapp pesan coba ulang handphone android pakai wifi,"Pertamina sends OTP code for WhatsApp registration message, try again on Android phone using WiFi",0.0,netral
update lokasi spbu nomor lokasi sesuai,update gas station location number according to location,0.0,netral
mantap,Excellent,1.0,positif
