content,sentiment,label
tolong baik setting kamera kamera langsung mode ultrawide baca huruf unggah pakai kamera,positif,1
jelas guna,positif,1
aplikasi tingkat tolong baik susah indonesia tolong sulit mohon ambil foto stnk galeri handphone potret langsung tolong baik,positif,1
aplikasi hapus kendara ganti kaleng tambah ganti nomor plat kendara daftar nomor polisi tolak terang nomor polisi stnk sesuai nomor polisi kendara sesuai masuk sesuai tolong arah admin,positif,1
saran depan sedia import gambar galeri stnk ktp kali gagal maklum handphone pada kamera,negatif,-1
barcode,netral,0
qr kode muncul hasil verifikasi,netral,0
good,positif,1
tolong tim baik sistem isi bahan bakar minyak subsidi kuota tinggal kemarin isi bahan bakar minyak transaksi pemberitahuan riwayat bayar aplikasi contoh bayar tunai pantau penyalahgunaan barcode,positif,1
sulit barcode mohon mudah rakyat indonesia,negatif,-1
aplikasi capai lelah isi data sistem masalah tolong pertamina,negatif,-1
ukur foto biar susah,negatif,-1
kesal kali foto stnk foto kamera foto anggap buram,negatif,-1
mantap,positif,1
mudah sulit unggah foto ulang ulang,positif,1
unggah stnk susah mati,negatif,-1
kualitas kamera aplikasi buruk baca tuh stnk kamera buruk,negatif,-1
daftar gagal foto stnk seta ganti foto stnk ganti nomor polisi sesuai coba,negatif,-1
woyy tolong sok pakai atur barcode urus aplikasi selesai proses reset minggu ganggu kamera bikin buruk buram baik please konsumen tolong buat barcode bikin sulit kamera buruk handphone mahal sekligus lelah,negatif,-1
djmt daftar salah habis anggar,negatif,-1
habis update unggah foto stnk susah foto stnk tolak foto sih subsidi daftar susah gin,negatif,-1
oke mohon metode bayar,positif,1
mantap,positif,1
aplikasi buruk barcode pakai spbu coba cari barcode kendara aplikasi mypertamina unduh menu cari barcode kendara daftar isi data ulang ulang isi data nomor kendara cari daftar barcode unduh pakai kali kali isi bahan bakar minyak,negatif,-1
puas bantu ekonomi,positif,1
mypertamina mantap,positif,1
ubah stnk tahun nomor polisi kendara ubah daftar ulang sulit rubah nomor polisi ubah daftar ulang,negatif,-1
tolong baik sistem daftar kendala sistem gagal mohon baik kualitas kamera kamera buram flash daftar susah tolong kembali kualitas terima kasih,positif,1
mantap muas,positif,1
daftar barcode qris update isi ulang haduuhhh sulit,negatif,-1
my pertamina pakai orang login masuk gagal,negatif,-1
ting kamera wide,negatif,-1
oke mantap,positif,1
sosial media pertamina chat balas adu,positif,1
aplikasi subsidi daftar sulit data full foto stnk bpkb tolak beli mobil bekas unggah tolak kecewa moga spbu shell cepat balikpapan,negatif,-1
bantu,netral,0
mantap,positif,1
good,positif,1
bagus,positif,1
unggah foto ktp gagal susah,negatif,-1
kemarin fitur unggah berkas daftar subsidi,netral,0
pegawai pom banyak canda bicara isi,netral,0
pertamina call center hubung pesan gas blora jawa janji jam pagi jam silah,negatif,-1
praktis sulit bawa uang cash,negatif,-1
aplikasi foto fokus tolak buruk foto resolusi hasil bagus,positif,1
foto buram verifikasi ambil galeri ning mudah bikin susah,negatif,-1
daftar subsidi sulit akses mohon baik,positif,1
kesini unggah stnk sulit baca fokus handphone mending menyantumkan foto saran mah susah orang lot foto stnk hadeehhh suram suram,negatif,-1
sulit daftar bahan bakar minyak subsidi isi data jungkir habis kuota mudah rakyat selamat nikmat ruwet,positif,1
terima foto ktp pemberitahuan tulis merah verifikasi foto ktp gagal aplikasi buruk susah masyarakat bossss tolong bantu masyarakat,negatif,-1
oke,positif,1
aplikasi bantu mudah,positif,1
qr customer tampil,netral,0
daftar nomor rang mob plat baca aplikasi roda solusi,netral,0
login nomor pin,netral,0
blokir bikin normal,positif,1
sulit bikin susah rakyat,negatif,-1
sungguh sulit daftar handphone kualitas rendah foto stnk buram mesti tolak alangkah baik menu ambil galeri mohon bantu kasihan isi bahan bakar minyak sulit,negatif,-1
baik pom ciatel,positif,1
akun masuk klaim kode barcode langsung masuk data repot mah daftar ulang,positif,1
mantap,positif,1
buruk susah ambil subsidi negeri,negatif,-1
mantap,positif,1
foto gagal aplikasi buruk ambil gambar bagus,negatif,-1
susah foto ktp menu edit pilih galeri gagal,negatif,-1
dar tarif bahan bakar minyak aplikasi,netral,0
sulit,negatif,-1
susah lambat,negatif,-1
tolong sulit lalap gagal daftar sesuai suruh heran,negatif,-1
aplikasi sulit,negatif,-1
klik ambil foto foto buram buruk susah,negatif,-1
komplain respon jawab terang barcode blokir isi syarat id lapor jelas tim tim sinambung selesai rugi barcode salah curi oknum spbu tegas tim kait tanggung,negatif,-1
aplikasi sulit ambil foto stnk,negatif,-1
sulit mudah,positif,1
aplikasi sampah cerita digital buat perintah eh saking buruk unggah data hasil banyak korup ua gnya kali biaya aplikasi hasil aplikasi abal bikin anak ajar software,negatif,-1
oke,positif,1
sulit masyarakat,negatif,-1
aplikasi sulit fitur foto ktp stnk mode buram tolong bantu subsidi ikhlas sulit wajib taat pajak stnk versi baru foto susah niat subsidi verifikasi butuh,negatif,-1
good,positif,1
pertamina kirim kode otp registrasi whatsapp pesan coba ulang handphone android pakai wifi,netral,0
update lokasi spbu nomor lokasi sesuai,netral,0
mantap,positif,1
ambil foto nge buram heran kamera handphone buruk jelek pilih foto galeri gilir ambil foto gambar buram fokus verifikasi tolak salah aplikasi,negatif,-1
aneh gagal verifikasi alas gagal stnk contoh tulis baca gagal anggar bumn aplikasi beres,negatif,-1
spbu aplikasi gilir bayar pakai mypertamina error,netral,0
ambil barcode,netral,0
daftar jirrrr foto ktp tolak jir,netral,0
atur fokus aplikasi fitur cahaya pindai stnk hasil buram baca aplikasi,positif,1
tangan daftar unit lambat minggu daftar unit gara daftar roda mobil tuju subsidi sulit rakyat,negatif,-1
sulit,negatif,-1
daftar ganti plat pajak ganti plat daftar kode qr,netral,0
kamera foto berkas pakai kamera ultrawide kamera utama akses aplikasi paham kamera ultrawide milik hasil foto bagus kamera utama bagus ultrawide tolong timbang kembang kasihan masyarakat daftar hasil foto gagal,positif,1
susah daftar pakai ktp,negatif,-1
akun,netral,0
mantap,positif,1
kaya tanggap coba ulang kali unggah ktp hubung email solusi butuh mohon baik,positif,1
masuk foto stnk galeri foto langsung gagal stnk sesuai,negatif,-1
tingkat bagus batu,positif,1
kelas otp masuk masuk,netral,0
