appVersion,reviewId,content,score,at
4.6.4,eeeedac9-bc3c-4c3c-ba47-360ddcc08012,Simple dpt dimengerti,5,2024-12-22 13:03:01
4.6.4,a8146da5-2c2f-4658-ab17-74e0c1872cfe,sangat bagus,5,2024-12-22 11:13:09
4.6.4,f5a91b37-df66-4b97-8e50-01a5595c4758,Great,5,2024-12-22 09:32:27
4.6.4,1c757ded-f105-4a4f-8af7-8317c8f94643,7hh b,3,2024-12-22 09:24:54
4.6.4,4e816932-3af1-4331-bc25-2e7fce7209b4,aplikasi sangat bagus dan akurat JD 5 binrang,5,2024-12-22 08:03:32
4.6.4,4c59efcc-2d1a-4ff6-9f49-c1dfb9683e66,Semoga tambah maju dan lebih terbuka untuk kalangan masyarakat kecil,5,2024-12-22 07:25:25
4.6.4,fd03b5d0-cdb0-4f3d-bf40-3c68a36e3cba,Ok,4,2024-12-22 03:23:51
4.6.4,bf12f751-36df-4967-b998-d3d4e3d3926c,Udah berkembang lah,5,2024-12-22 02:41:40
4.6.4,9721e2ac-33a0-4f2c-b03d-3700ac4e2e7b,Terimakasih atas pelayanan-nya. Tuhan memberkati,5,2024-12-22 02:25:30
4.6.4,1affa92f-f4d8-4c58-b414-651ea402f4b2,Dk bisa login,5,2024-12-22 02:11:53
4.6.4,d794463c-8b0b-47bd-8a15-f4c8441d3f25,Oke,5,2024-12-22 01:40:53
4.6.4,1a6a4a95-8562-47fd-8c82-cd96601e4316,Top,5,2024-12-21 23:08:08
4.6.4,bd0b76e3-d9ad-469d-9743-7e0803c88305,Mantap pertaminaku,5,2024-12-21 14:30:02
4.6.4,db932e7e-678e-4e4a-beae-59a66335b530,Ribet,1,2024-12-21 14:09:24
4.6.4,cfb63c97-33be-48ed-b2f5-b6168b534868,Bagus,4,2024-12-21 12:08:26
4.6.4,4677cd72-f8d2-46b9-9496-b32ce1a61f75,"Bikin barkot ,gagal melulu",5,2024-12-21 10:27:29
4.6.4,e446d233-f98c-4089-a86d-59b7a9c84d32,"Pengalaman yg ada, selama ini baik.",4,2024-12-21 10:25:26
4.6.4,a5b2129f-e0a6-48cb-aa56-2daeceebe982,mantaap,5,2024-12-21 09:51:21
4.6.4,61c0254a-f238-4607-9af7-3933e38f38dd,sangat bagus,5,2024-12-21 08:13:27
4.6.4,c61f4c9a-5cac-4562-a9f7-921919cbafd8,sangat membantu mempermudah,5,2024-12-21 07:30:47
